Datetime,close,high,low,trade_count,open,volume,vwap,symbol
2025-04-30 15:58:00+00:00,390.515,390.6023,389.94,690,390.085,25573,390.280624,MSFT
2025-04-30 15:59:00+00:00,390.35,390.56,390.15,476,390.55,23597,390.315546,MSFT
2025-04-30 16:00:00+00:00,390.265,390.48,390.21,520,390.365,20868,390.3616,MSFT
2025-04-30 16:01:00+00:00,390.23,390.44,390.15,610,390.265,31602,390.302803,MSFT
2025-04-30 16:02:00+00:00,390.3,390.3,390.05,419,390.25,19292,390.154648,MSFT
2025-04-30 16:03:00+00:00,390.105,390.2976,390.03,382,390.2976,14222,390.182683,MSFT
2025-04-30 16:04:00+00:00,390.29,390.3,390.07,345,390.1,14758,390.221954,MSFT
2025-04-30 16:05:00+00:00,390.575,390.64,390.29,544,390.29,17024,390.49919,MSFT
2025-04-30 16:06:00+00:00,390.645,390.86,390.48,685,390.575,38710,390.644864,MSFT
2025-04-30 16:07:00+00:00,390.41,390.702,390.34,437,390.68,20721,390.552682,MSFT
2025-04-30 16:08:00+00:00,390.19,390.47,390.08,411,390.47,13238,390.268606,MSFT
2025-04-30 16:09:00+00:00,390.04,390.21,390.04,439,390.2025,16920,390.127628,MSFT
2025-04-30 16:10:00+00:00,389.715,390.04,389.54,735,390.04,44162,389.80407,MSFT
2025-04-30 16:11:00+00:00,389.815,389.87,389.54,619,389.66,34370,389.762276,MSFT
2025-04-30 16:12:00+00:00,390.07,390.21,389.725,676,389.815,37663,389.985569,MSFT
2025-04-30 16:13:00+00:00,389.77,390.12,389.77,417,390.12,16238,389.974494,MSFT
2025-04-30 16:14:00+00:00,389.88,389.99,389.81,486,389.81,20534,389.881698,MSFT
2025-04-30 16:15:00+00:00,389.94,390.16,389.86,452,389.88,20564,390.028212,MSFT
2025-04-30 16:16:00+00:00,389.64,389.915,389.63,678,389.91,54696,389.82561,MSFT
2025-04-30 16:17:00+00:00,389.93,390.22,389.64,833,389.67,52164,389.900717,MSFT
2025-04-30 16:18:00+00:00,389.9,390.05,389.84,678,389.935,36752,389.928951,MSFT
2025-04-30 16:19:00+00:00,390.055,390.0813,389.8,863,389.9289,50734,389.948271,MSFT
2025-04-30 16:20:00+00:00,389.98,390.12,389.841,642,390.05,25206,389.97548,MSFT
2025-04-30 16:21:00+00:00,390.08,390.23,389.92,530,389.981,19681,390.075413,MSFT
2025-04-30 16:22:00+00:00,389.79,390.0796,389.65,658,390.04,34227,389.863678,MSFT
2025-04-30 16:23:00+00:00,389.54,389.75,389.4,687,389.74,41446,389.549317,MSFT
2025-04-30 16:24:00+00:00,389.38,389.74,389.3,687,389.57,36402,389.534761,MSFT
2025-04-30 16:25:00+00:00,389.3,389.4396,389.22,545,389.37,34605,389.313912,MSFT
2025-04-30 16:26:00+00:00,389.66,389.66,389.25,565,389.32,31052,389.420998,MSFT
2025-04-30 16:27:00+00:00,389.48,389.7097,389.325,659,389.67,42854,389.496908,MSFT
2025-04-30 16:28:00+00:00,389.38,389.48,389.31,525,389.46,43676,389.38085,MSFT
2025-04-30 16:29:00+00:00,389.4,389.56,389.38,370,389.4,13771,389.436562,MSFT
2025-04-30 16:30:00+00:00,388.9875,389.4,388.9875,729,389.39,26740,389.222736,MSFT
2025-04-30 16:31:00+00:00,389.0248,389.26,388.9,602,388.97,29952,389.090488,MSFT
2025-04-30 16:32:00+00:00,389.04,389.12,388.81,666,389.05,29185,388.953693,MSFT
2025-04-30 16:33:00+00:00,389.03,389.03,388.8,609,389.025,28509,388.941251,MSFT
2025-04-30 16:34:00+00:00,388.9052,389.074,388.865,393,389.0013,15074,388.974998,MSFT
2025-04-30 16:35:00+00:00,388.96,388.96,388.855,381,388.86,10203,388.873142,MSFT
2025-04-30 16:36:00+00:00,389.195,389.23,388.76,554,388.9599,23846,388.911559,MSFT
2025-04-30 16:37:00+00:00,389.785,389.87,389.23,765,389.23,30220,389.608125,MSFT
2025-04-30 16:38:00+00:00,389.805,390.05,389.66,595,389.79,25386,389.857326,MSFT
2025-04-30 16:39:00+00:00,390.07,390.09,389.61,440,389.71,20671,389.790695,MSFT
2025-04-30 16:40:00+00:00,390.23,390.35,390.06,539,390.08,21417,390.211524,MSFT
2025-04-30 16:41:00+00:00,390.41,390.5,390.27,520,390.27,21790,390.357509,MSFT
2025-04-30 16:42:00+00:00,390.38,390.53,390.32,526,390.42,31802,390.437124,MSFT
2025-04-30 16:43:00+00:00,390.02,390.2425,389.96,433,390.2,22336,390.059696,MSFT
2025-04-30 16:44:00+00:00,389.94,390.1499,389.94,419,390.02,16126,390.053177,MSFT
2025-04-30 16:45:00+00:00,390.1025,390.16,389.92,434,389.965,18473,390.03658,MSFT
2025-04-30 16:46:00+00:00,390.06,390.097,389.92,362,390.09,14396,390.017878,MSFT
2025-04-30 16:47:00+00:00,390.062,390.16,389.93,405,390.1,17481,390.021948,MSFT
2025-04-30 16:48:00+00:00,389.88,390.01,389.72,365,390.0,10938,389.856496,MSFT
2025-04-30 16:49:00+00:00,390.01,390.1,389.86,521,389.86,21162,389.975039,MSFT
2025-04-30 16:50:00+00:00,390.2443,390.32,389.895,427,389.98,16905,390.096989,MSFT
2025-04-30 16:51:00+00:00,390.39,390.39,389.9601,436,390.275,23780,390.166471,MSFT
